Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Archaea	domain	1	1	0	0	21	3	0	0	0	3	0	3	3	7	1	1	1	1	1	0	0	0	1	0	0	0	0	1
Thermoprotei	class	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Thermoproteales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	phylum	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
Thermoplasmata	class	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1	2	0	0	2	1	0	0	0	0	0	0	0
Methanomassiliicoccus	genus	10	0	2	4	0	2	13	36	12	7	0	0	3	15	10	32	25	2	6	35	6	0	1	3	1	2	0	13
Pacearchaeota Incertae Sedis AR13	genus	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thaumarchaeota	phylum	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Nitrosopumilus	genus	3	0	0	0	0	4	0	2	0	7	0	0	23	0	1	3	0	0	0	0	4	0	0	0	0	2	0	2
Nitrososphaera	genus	9	0	0	6	10	45	1	6	0	28	0	0	45	4	1	50	1	0	2	1	8	0	0	7	1	13	1	57
Woesearchaeota	phylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
Woesearchaeota Incertae Sedis AR16	genus	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0
Woesearchaeota Incertae Sedis AR18	genus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	domain	2087	1538	1296	2546	1799	2366	957	2824	3655	2420	525	1527	2495	2619	1568	2628	2861	1385	1345	2762	2166	867	1718	1751	1212	2570	1912	2448
Acidobacteria	phylum	65	37	27	42	41	65	8	34	17	61	6	71	85	80	28	74	17	15	42	10	58	24	56	81	37	38	52	70
Acidobacteria_Gp1	class	173	162	296	269	283	239	5	138	1	402	236	62	393	267	152	172	9	55	280	3	249	191	282	210	87	114	335	339
Gp10	genus	41	8	6	1	19	24	10	2	2	15	0	120	76	20	11	8	0	3	7	0	44	14	9	33	32	0	39	2
Gp11	genus	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	5	0	0	4
Gp13	genus	13	4	0	13	11	16	0	0	0	12	0	1	27	7	11	14	0	0	3	0	20	3	5	7	5	5	2	15
Gp15	genus	15	5	1	7	7	17	0	18	0	16	0	4	16	29	10	8	5	1	7	1	13	0	8	17	4	7	2	15
Gp16	genus	75	119	57	75	58	107	4	27	24	35	0	91	50	87	53	28	31	26	45	54	136	33	58	117	118	36	28	52
Gp17	genus	16	6	8	14	6	8	9	7	0	6	0	17	4	20	14	13	19	2	5	4	6	4	7	10	6	11	5	7
Gp18	genus	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3
Gp19	genus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acidicapsa	genus	1	8	16	10	5	2	0	0	0	1	22	0	6	5	3	4	0	0	9	0	5	13	6	8	0	6	6	10
Acidipila	genus	6	74	206	36	27	54	0	3	0	91	130	0	56	2	2	15	0	6	55	1	43	62	59	55	36	20	136	86
Acidobacterium	genus	0	2	2	2	0	0	0	1	0	1	2	2	3	0	3	1	0	0	1	0	2	4	3	1	0	0	0	0
Bryocella	genus	0	4	4	7	4	2	0	1	1	6	5	1	4	3	2	0	3	2	7	0	0	4	13	3	0	0	3	1
Candidatus Koribacter	genus	95	61	67	90	100	112	4	117	0	357	63	39	158	460	123	73	7	20	111	0	115	44	40	90	62	60	157	129
Edaphobacter	genus	1	6	2	6	5	6	1	17	0	5	4	0	2	5	21	7	1	0	3	0	4	2	136	2	1	0	12	6
Gp1	genus	521	357	543	713	764	1126	6	207	0	696	236	125	1152	826	287	553	8	124	757	4	846	225	302	658	395	416	886	1048
Granulicella	genus	6	171	225	174	115	71	0	3	2	13	175	18	94	20	11	26	35	24	80	4	59	159	695	86	26	46	139	76
Telmatobacter	genus	5	4	16	13	6	2	0	0	0	5	7	0	7	18	2	0	1	0	8	0	15	4	4	20	9	3	9	0
Terriglobus	genus	2	69	214	96	41	61	2	0	1	12	125	5	86	9	4	28	0	11	97	1	11	58	136	47	12	20	74	28
Gp20	genus	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Gp22	genus	34	1	2	2	1	3	1	0	0	0	0	2	0	2	4	1	0	0	0	0	50	1	0	12	4	5	0	10
Gp25	genus	4	0	0	0	2	3	0	0	0	1	0	0	9	0	0	0	0	0	0	0	6	0	0	7	0	0	0	1
Gp2	genus	747	502	1009	1139	1376	1936	12	617	1	576	375	57	1511	426	260	1297	22	280	1316	11	1099	271	553	833	311	687	1321	2090
Acidobacteria_Gp3	class	57	41	60	59	82	100	24	55	21	68	28	45	88	104	49	85	36	75	63	16	68	56	44	51	36	52	69	92
Bryobacter	genus	67	44	43	41	52	75	22	39	97	64	16	29	62	102	35	87	58	42	57	28	70	51	35	58	35	24	47	84
Candidatus Solibacter	genus	226	253	314	228	313	316	85	200	37	259	153	149	288	363	158	225	218	252	434	142	326	179	130	239	173	171	390	306
Gp3	genus	410	374	409	383	578	710	99	362	100	506	173	245	635	729	308	571	238	348	529	173	698	312	243	443	338	327	508	776
Acidobacteria_Gp4	class	4	11	4	5	8	6	4	11	2	2	0	19	3	7	3	16	13	2	6	3	7	7	3	7	9	7	8	12
Blastocatella	genus	6	5	8	0	2	3	18	8	11	2	0	18	0	20	1	4	39	4	7	9	5	6	2	7	8	2	1	1
Gp4	genus	190	592	189	293	273	458	90	415	50	118	2	762	250	286	129	382	285	55	211	138	416	223	1122	263	411	302	244	620
Gp5	genus	57	33	14	30	35	34	5	52	73	45	0	46	52	106	43	106	79	10	37	58	87	28	28	86	50	47	29	49
Gp6	genus	443	588	373	519	330	332	114	363	1263	254	39	750	367	785	360	802	806	265	276	655	631	343	396	442	484	500	470	486
Gp7	genus	253	122	124	219	172	512	39	308	59	273	10	230	350	587	282	170	26	51	145	24	391	57	70	352	148	152	147	223
Gp9	genus	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acanthopleuribacter	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holophagaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Geothrix	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	phylum	13	25	26	22	20	18	4	11	10	3	1	21	12	14	14	17	18	9	6	15	13	9	24	26	33	22	19	4
Actinobacteria	class	48	90	52	52	75	169	16	40	41	39	4	35	65	75	52	50	31	42	48	50	122	43	64	120	61	59	85	50
Acidimicrobiales	order	157	204	201	179	177	174	24	131	110	139	24	117	126	212	112	102	57	84	101	63	195	89	170	170	144	95	224	90
Acidimicrobiaceae	family	5	15	14	14	16	21	3	30	3	13	7	4	19	15	9	19	1	3	7	1	18	7	16	18	14	8	13	4
Ferrimicrobium	genus	3	5	4	5	2	3	0	3	1	1	0	4	4	12	2	4	1	2	1	2	8	3	3	6	8	2	5	3
Ferrithrix	genus	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0
Ilumatobacter	genus	20	46	9	21	9	15	19	24	172	2	0	20	1	8	5	24	63	26	8	35	40	30	22	30	46	16	12	7
Aciditerrimonas	genus	66	92	73	93	80	116	11	66	19	66	13	81	87	77	53	68	25	51	42	19	105	66	81	111	81	64	66	44
Iamia	genus	30	59	34	25	24	23	14	89	59	43	9	34	6	46	23	44	63	40	24	81	34	15	42	37	23	24	24	24
Actinomycetales	order	81	352	268	113	134	75	149	42	135	57	54	121	39	65	59	79	70	147	116	69	158	156	160	88	129	65	218	38
Acidothermus	genus	5	42	3	11	3	9	0	3	2	7	0	7	18	15	1	1	0	1	3	4	0	7	5	6	4	6	11	0
Actinospica	genus	0	1	2	8	2	2	0	1	0	5	1	0	5	0	0	1	0	0	5	0	1	0	0	1	0	1	12	2
Catenulispora	genus	9	0	2	7	10	1	0	0	0	6	0	0	14	5	0	0	0	5	10	0	7	0	0	7	1	2	11	5
Corynebacteriaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterineae_incertae_sedis	family	0	0	2	3	1	0	1	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
Hoyosella	genus	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Tomitella	genus	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptosporangiaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0
Cryptosporangium	genus	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Fodinicola	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Dermabacteraceae	family	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
Dermabacter	genus	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helcobacillus	genus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteipulveratus	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Geodermatophilaceae	family	0	4	2	2	1	0	0	0	8	0	0	3	1	1	4	0	5	0	2	6	4	3	5	3	1	0	2	1
Blastococcus	genus	2	12	1	0	1	0	1	2	62	1	1	22	1	2	6	0	19	1	0	49	1	0	4	3	7	1	3	0
Geodermatophilus	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Modestobacter	genus	0	6	3	2	3	1	0	1	3	1	2	10	1	1	3	2	6	0	0	0	2	4	3	1	2	1	7	1
Intrasporangiaceae	family	0	5	2	0	0	0	0	0	22	1	0	0	2	0	1	0	3	0	0	2	0	0	1	1	3	0	0	0
Fodinibacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Humibacillus	genus	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Intrasporangium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ornithinibacter	genus	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oryzihumus	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Phycicoccus	genus	0	0	0	0	0	0	0	0	114	0	0	2	0	0	0	0	10	0	0	9	0	0	0	0	2	0	0	0
Terrabacter	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
