Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Archaea	0.582	447	0.0	49
d__Archaea;p__Crenarchaeota;c__Thermoprotei	0.519	542	0.0	10
d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	0.55	376	0.0	1
d__Archaea;p__Euryarchaeota	0.668	376	0.0	5
d__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.61	374	0.0	11
d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0.74	376	0.0	240
d__Archaea;p__Pacearchaeota;c__Pacearchaeota Incertae Sedis AR13;o__Pacearchaeota Incertae Sedis AR13;f__Pacearchaeota Incertae Sedis AR13;g__Pacearchaeota Incertae Sedis AR13	0.985	377	0.0	4
d__Archaea;p__Thaumarchaeota	0.703	376	0.0	7
d__Archaea;p__Thaumarchaeota;c__Nitrosopumilales;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus	0.578	376	0.0	51
d__Archaea;p__Thaumarchaeota;c__Nitrososphaerales;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera	0.793	376	0.0	296
d__Archaea;p__Woesearchaeota	0.87	376	0.0	3
d__Archaea;p__Woesearchaeota;c__Woesearchaeota Incertae Sedis AR16;o__Woesearchaeota Incertae Sedis AR16;f__Woesearchaeota Incertae Sedis AR16;g__Woesearchaeota Incertae Sedis AR16	0.599	376	0.0	17
d__Archaea;p__Woesearchaeota;c__Woesearchaeota Incertae Sedis AR18;o__Woesearchaeota Incertae Sedis AR18;f__Woesearchaeota Incertae Sedis AR18;g__Woesearchaeota Incertae Sedis AR18	1.0	378	0.0	1
d__Bacteria	0.963	391	0.0	55847
d__Bacteria;p__Acidobacteria	0.68	373	0.0	1241
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1	0.823	373	0.0	5404
d__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;o__Gp10;f__Gp10;g__Gp10	0.945	373	0.0	546
