Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Fungi	domain	445	470	478	254	188	135	1569	1190	1295	1073	185	198	890	7287	1238	74	1288	376	160	1111	506	1070	297	265	113	116	111	215
Ascomycota	phylum	2901	128	423	223	527	1646	489	336	37	526	61	43	126	78	187	95	13	43	1541	11	10218	214	465	1831	3077	743	150	499
Archaeorhizomycetes	class	22	3	1	0	195	8	3	3	0	0	0	0	1	1	1	0	0	0	12	0	15	7	0	1330	73	1	9	1113
Archaeorhizomycetales	order	10	0	1	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	51	26	0	0	82
Archaeorhizomyces	genus	6328	13012	13036	8824	10092	7495	458	240	22	41	190	5978	492	24	53	6726	43	0	62	10	4134	12658	16739	12058	12699	3183	17227	1516
Archaeorhizomycetes_unidentified_1	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Ascomycota_unidentified_1_1	genus	348	1158	2352	917	106	597	172	49	31	13	101	112	267	236	1430	420	3	31	1929	5	315	845	386	843	288	151	117	7792
Dothideomycetes	class	0	4	1	2	1	0	0	0	6	2	0	1	1	0	2	0	2	2	0	0	1	0	4	0	0	0	0	0
Camarosporium	genus	0	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnodiales	order	0	1	0	0	0	0	3	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0
Capnodiales_unidentified_1	genus	0	1	2	0	1	2	0	3	0	1	0	0	40	30	134	0	1	0	0	0	0	0	0	0	0	0	0	0
Davidiella	genus	3	0	2	0	2	6	18	6	7	6	2	7	4	68	28	0	3	1	0	4	3	0	1	2	0	1	0	1
Capnobotryella	genus	0	0	0	0	1	8	0	0	0	0	0	1	0	16	3	0	0	0	0	0	0	0	0	0	1	0	0	0
