Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Fungi	domain	0.0316522156551	0.00473615155685	0.0029486347821	0.00440381911035	0.0039417451558	0.00802777175092	0.0359753068899	0.0130889035616	0.0455551003687	0.0148233032678	0.00236572890026	0.00797732067511	0.0361591000402	0.19048921538	0.0552609000858	0.00205933948593	0.0589478983136	0.00256342594338	0.0104924966448	0.0295121545122	0.0164462191165	0.0103155339806	0.00444768985661	0.0101923215443	0.00695973576596	0.00347722243687	0.0174342380541	0.0054768585821
Ascomycota	phylum	0.0432030242117	0.0250888028417	0.0134752609542	0.0105469617349	0.0147296792664	0.0140160555435	0.00510891932165	0.0056705635608	0.00614502253175	0.0012198728375	0.00144927536232	0.00227452531646	0.0137493861881	0.00937793060331	0.00967163247797	0.00716955228434	0.00317140699723	0.000678553926188	0.0431493757371	0.00278887778888	0.207811330172	0.0104226156482	0.0163967073818	0.0315133616653	0.142025794275	0.0133469144041	0.00440737538007	0.00578112850333
Archaeorhizomycetes	class	0.0	6.40020480655e-05	0.0	0.0	4.14920542716e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142775556825	6.63834306957e-05	0.000108045811424	0.0	0.0	0.0	3.38077690253e-05
Archaeorhizomycetales	order	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000216091622848	0.0	0.0	0.0	0.000101423307076
Archaeorhizomyces	genus	0.0084905943416	0.0211526768857	0.0176033496491	0.00939974835319	0.0107879341106	0.00433933608158	0.000390264670404	0.0	0.0	0.000221795061363	4.26257459506e-05	0.00471387130802	0.00031248604973	0.0	3.89985180563e-05	0.00655937762184	0.0	0.0	0.0	0.0	0.00843523833292	0.0223086807539	0.0268852894318	0.0345746596557	0.0277209814407	0.00393382740332	0.0184942397277	0.00250177490787
Archaeorhizomycetales_unidentified_1	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49563264287e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaeorhizomycetes_unidentified_1	genus	0.0	6.40020480655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56938892062e-05	0.0	0.0	0.0	0.0	2.78947808865e-05	6.76155380506e-05
Ascomycota_unidentified_1_1	genus	0.00807056493955	0.0612499599987	0.0969805979831	0.0426689364222	0.00543545910958	0.0386634844869	0.00847938692968	0.00186429486931	0.00102417042196	0.000184829217803	0.00296248934356	0.00356012658228	0.0137940270524	0.00316505157862	0.0193042664379	0.0171611623827	0.000151019380821	0.00101783088928	0.0605555329619	0.0	0.00856001996506	0.0301613363792	0.0229686670207	0.0502413023122	0.0300408933627	0.00713006216852	0.00680632653631	0.17204773657
Dothideomycetes	class	0.0	0.000256008192262	0.000206404434747	0.000259048182962	8.29841085432e-05	0.00208288131916	7.09572128007e-05	0.0	0.0	3.69658435606e-05	0.00115089514066	0.0	4.46408642471e-05	0.0	0.000116995554169	0.0	5.03397936068e-05	0.0	0.00012200577494	0.0	4.99126528575e-05	0.00207024557396	0.000199150292087	3.60152704747e-05	3.93205410506e-05	0.000105370376875	8.36843426595e-05	0.0
Botryosphaeriales	order	0.0	0.0	0.0	0.0	0.0	0.000303753525711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60152704747e-05	0.0	0.0	0.0	0.0
