Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi	1.0	344	0.0	16642
d__Fungi;p__Ascomycota	0.926	306	0.0	20509
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes	0.847	266	0.0	12
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales	0.509	275	0.0	9
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces	0.979	267	0.0	6379
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetales_unidentified;g__Archaeorhizomycetales_unidentified_1	0.89	265	0.0	1
d__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetes_unidentified;f__Archaeorhizomycetes_unidentified_1;g__Archaeorhizomycetes_unidentified_1	0.557	269	0.0	6
d__Fungi;p__Ascomycota;c__Ascomycota_unidentified;o__Ascomycota_unidentified_1;f__Ascomycota_unidentified_1;g__Ascomycota_unidentified_1_1	0.966	288	0.0	20294
d__Fungi;p__Ascomycota;c__Dothideomycetes	0.746	296	0.0	208
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales	0.502	297	0.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae	0.546	297	0.0	859
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella	0.52	296	0.0	10
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_unidentified;g__Botryosphaeriales_unidentified_1	0.772	302	0.0	67
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Incertae_sedis_33;g__Camarosporium	0.961	298	0.0	26
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.523	292	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_unidentified;g__Capnodiales_unidentified_1	0.876	294	0.0	90
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae	0.52	296	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Davidiella	0.951	296	0.0	264
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Capnobotryella	0.939	289	0.0	38
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Elasticomyces	0.96	293	0.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Phaeotheca	0.9	291	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Rachicladosporium	0.65	296	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.78	290	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerellaceae_unidentified	0.989	307	0.0	130
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Sphaerulina	0.871	291	0.0	21
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0.57	289	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Endoconidioma	0.938	310	0.0	19
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_unidentified;g__Dothideales_unidentified_1	0.993	310	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium	0.949	302	0.0	34
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Dothioraceae_unidentified	0.955	308	0.0	10
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Sydowia	1.0	310	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Incertae_sedis_22;g__Celosporium	0.942	309	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_unidentified;f__Dothideomycetes_unidentified_1;g__Dothideomycetes_unidentified_1	0.882	303	0.0	689
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae	0.635	293	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae;g__Cenococcum	0.972	294	0.0	8525
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Hysteriales_unidentified;g__Hysteriales_unidentified_1	0.866	289	0.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8	0.682	292	0.0	45
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Incertae_sedis_19;g__Scleroconidioma	0.99	308	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae	0.78	291	0.0	53
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae;g__Gymnostellatospora	0.986	293	0.0	488
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae;g__Oidiodendron	0.992	288	0.0	13432
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae	0.561	292	0.0	28
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudeurotiaceae_unidentified	0.985	293	0.0	107
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudeurotium	0.98	294	0.0	13187
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudogymnoascus	0.971	293	0.0	7017
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.666	298	0.0	13
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Massariosphaeria	0.696	299	0.0	10
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Ochrocladosporium	0.733	304	0.0	12
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Phoma	0.889	300	0.0	580
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Stagonosporopsis	0.82	303	0.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Acicuseptoria	0.944	300	0.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lindgomycetaceae;g__Lindgomyces	0.6	299	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	0.6	300	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium	0.715	300	0.0	22
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Mytilinidiaceae;g__Lophium	0.93	303	0.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.92	301	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.94	301	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora	0.888	301	0.0	11
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.753	303	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.928	306	0.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Drechslera	0.995	304	0.0	193
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Embellisia	0.953	303	0.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pleosporaceae_unidentified	0.953	302	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_unidentified;g__Pleosporales_unidentified_1	0.99	298	0.0	520
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiaceae_unidentified	0.88	297	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiella	0.813	297	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tubeufiaceae;g__Helicoma	0.972	326	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tubeufiaceae;g__Tubeufiaceae_unidentified	0.973	300	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae_1	0.64	295	0.0	1
