Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Alveolata	domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Apicomplexa incertae sedis	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciliophora incertae sedis	genus	88	13	37	10	57	22	68	94	13	43	18	19	14	247	252	53	212	68	72	88	109	77	3	25	17	16	24	99
Centramoebida incertae sedis	genus	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Phalansterium incertae sedis	genus	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0
Metazoa	phylum	1337	952	829	913	572	903	917	2838	4851	1233	842	1513	888	3066	2763	625	3734	319	776	1264	1530	1149	260	1138	717	561	923	1081
Ecdysozoa incertae sedis	genus	591	350	248	171	163	381	1795	2015	2737	915	328	545	828	980	904	271	4368	166	295	1361	524	492	72	564	285	269	306	485
Lophotrochozoa incertae sedis	genus	26	23	15	15	42	55	74	40	87	22	590	29	17	31	38	18	13	3	6	11	54	23	2	35	9	14	52	26
Platyhelminthes incertae sedis	genus	1209	672	442	308	218	315	1009	1206	3356	653	320	849	738	3756	1780	288	3369	133	394	1372	2406	832	203	654	519	181	497	435
Eukaryota incertae sedis	domain	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota incertae sedis	class	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
