Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Alveolata	domain	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5078369906e-05	0.0	0.0	0.0	0.0	0.0	0.0
Apicomplexa incertae sedis	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45519273263e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ciliophora incertae sedis	genus	0.00244281590051	0.000320528625672	0.000871962859096	0.000357130102496	0.00226020064237	0.000593856286779	0.00204788435477	0.0025535151581	0.000468215379074	0.00205623565417	0.000342237855309	0.0004664866192	0.000691870521374	0.00858294530544	0.0101404370045	0.00138071171781	0.00635529708016	0.00287016714503	0.00237146339053	0.00380359612725	0.00233579770706	0.00193103448276	0.000214822771214	0.000633472697327	0.000463480465662	0.000470768234913	0.000472041382295	0.00198771232382
Centramoebida incertae sedis	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90132141839e-05	0.0	9.88386459106e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.28586735241e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phalansterium incertae sedis	genus	0.0	2.46560481286e-05	0.0	0.0	0.0	0.0	0.0	2.71650548734e-05	0.0	9.56388676358e-05	0.0	0.0	0.0	3.47487664188e-05	0.0	0.0	0.0	4.22083403681e-05	0.0	0.0	0.0	0.0	7.16075904046e-05	2.53389078931e-05	0.0	0.0	0.0	0.0
Metazoa	phylum	0.0371141461248	0.0234725578184	0.0195366813565	0.0326059783579	0.0226813117094	0.0243751012255	0.0276163228429	0.0770944257307	0.17471636953	0.0589613618975	0.0160091263428	0.0371470660447	0.0438843587843	0.10653971784	0.111182648586	0.0162819778044	0.111937166497	0.0134644605774	0.0255591054313	0.0546334716459	0.0327868852459	0.0288150470219	0.0186179735052	0.0288356771823	0.0195479702282	0.0165063112366	0.0181539248274	0.0217042123439
Ecdysozoa incertae sedis	genus	0.0164057295137	0.00862961684501	0.00584450781232	0.00610692475269	0.00646338078433	0.0102845111483	0.0540581237765	0.0547375855699	0.098577345579	0.0437547819434	0.00623633425231	0.0133808003928	0.040919199407	0.0340537910904	0.0363768057623	0.00705986557599	0.130943102104	0.0070065845011	0.00971641250288	0.0588260719225	0.0112289724633	0.0123385579937	0.00515574650913	0.0142911440517	0.00777011368903	0.00791479094948	0.00601852762426	0.00973778259647
Lophotrochozoa incertae sedis	genus	0.000721741061515	0.000567089106958	0.00035349845639	0.000535695153745	0.00166541099964	0.00148464071695	0.00222858003313	0.00108660219494	0.00313344138304	0.00105202754399	0.0112177963685	0.000712005892463	0.00084012849024	0.00107721175898	0.00152911351656	0.000468920960767	0.000389711613406	0.000126625021104	0.000197621949211	0.000475449515906	0.00115718418515	0.000576802507837	0.000143215180809	0.000886861776257	0.000245372011233	0.000411922205549	0.0010227563283	0.00052202545878
Platyhelminthes incertae sedis	genus	0.0335609593604	0.0165688643424	0.0104164211816	0.0109996071569	0.008644276141	0.00850294228797	0.0303869899112	0.0327610561773	0.120871600936	0.0312260902831	0.00608422853883	0.0208445863	0.036471460341	0.130516366669	0.071626896302	0.00750273537227	0.100995263505	0.00561370926895	0.0129771746649	0.0593015214385	0.0515589842494	0.0208652037618	0.0145363408521	0.0165716457621	0.0141497859811	0.00532556565746	0.00977519029168	0.00873388748344
Eukaryota incertae sedis	domain	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71650548734e-05	0.0	0.0	3.80264283677e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota incertae sedis	class	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.80264283677e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
