Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Alveolata	0.5	0	1.0	1
d__Alveolata;p__Apicomplexa;c__Apicomplexa incertae sedis;o__Apicomplexa incertae sedis;f__Apicomplexa incertae sedis;g__Apicomplexa incertae sedis	0.52	0	1.0	1
d__Alveolata;p__Ciliophora;c__Ciliophora incertae sedis;o__Ciliophora incertae sedis;f__Ciliophora incertae sedis;g__Ciliophora incertae sedis	0.683	0	1.0	1858
d__Amoebozoa;p__Centramoebida;c__Centramoebida incertae sedis;o__Centramoebida incertae sedis;f__Centramoebida incertae sedis;g__Centramoebida incertae sedis	0.776	0	1.0	5
d__Amoebozoa;p__Phalansterium;c__Phalansterium incertae sedis;o__Phalansterium incertae sedis;f__Phalansterium incertae sedis;g__Phalansterium incertae sedis	0.801	0	1.0	8
d__Animalia;p__Metazoa	0.768	0	1.0	38494
d__Animalia;p__Metazoa;c__Ecdysozoa;o__Ecdysozoa incertae sedis;f__Ecdysozoa incertae sedis;g__Ecdysozoa incertae sedis	0.639	0	1.0	22409
d__Animalia;p__Metazoa;c__Lophotrochozoa;o__Lophotrochozoa incertae sedis;f__Lophotrochozoa incertae sedis;g__Lophotrochozoa incertae sedis	0.634	0	1.0	1370
d__Animalia;p__Metazoa;c__Platyhelminthes;o__Platyhelminthes incertae sedis;f__Platyhelminthes incertae sedis;g__Platyhelminthes incertae sedis	0.664	0	1.0	28114
d__Eukaryota incertae sedis	0.5	0	1.0	3
d__Eukaryota incertae sedis;p__Eukaryota incertae sedis;c__Eukaryota incertae sedis	0.51	0	1.0	2
d__Eukaryota incertae sedis;p__Eukaryota incertae sedis;c__Eukaryota incertae sedis;o__Eukaryota incertae sedis	0.88	0	1.0	1
d__Eukaryota incertae sedis;p__Eukaryota incertae sedis;c__Eukaryota incertae sedis;o__Eukaryota incertae sedis;f__Eukaryota incertae sedis;g__Capsaspora	0.62	0	1.0	1
d__Eukaryota incertae sedis;p__Eukaryota incertae sedis;c__Eukaryota incertae sedis;o__Eukaryota incertae sedis;f__Nucleariidae;g__Nuclearia	0.845	0	1.0	2
d__Eukaryota incertae sedis;p__Stramenopiles	0.551	0	1.0	18
d__Eukaryota incertae sedis;p__Stramenopiles;c__Chrysophyceae;o__Chrysophyceae incertae sedis;f__Chrysophyceae incertae sedis;g__Chrysophyceae incertae sedis	0.633	0	1.0	27
d__Eukaryota incertae sedis;p__Stramenopiles;c__Hyphochytriomycetes;o__Hyphochytriomycetes incertae sedis;f__Hyphochytriomycetes incertae sedis;g__Hyphochytriomycetes incertae sedis	1.0	0	1.0	1
d__Eukaryota incertae sedis;p__Stramenopiles;c__Oomycetes	0.699	0	1.0	17
d__Eukaryota incertae sedis;p__Stramenopiles;c__Oomycetes;o__Leptomitales;f__Leptomitales incertae sedis;g__Apodachlya	0.78	0	1.0	5
d__Eukaryota incertae sedis;p__Stramenopiles;c__Oomycetes;o__Oomycetes incertae sedis;f__Oomycetes incertae sedis;g__Oomycetes incertae sedis	0.742	0	1.0	174
