Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Archaea	domain	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	1	5	0	1	5
Pyrolobus	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	domain	2995	1485	110	2689	1746	2718	1309	2720	2790	2361	1859	1554	1238	2566	2322	3098	3532	1383	1625	4265	2680	1322	1441	2599	2157	4150	2061	2921
Acetothermia_genera_incertae_sedis	genus	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteria	phylum	84	35	4	86	60	110	17	61	50	78	44	52	48	98	75	99	39	19	89	41	103	41	65	110	84	126	63	104
Acidobacteria_Gp1	class	376	252	31	447	381	567	13	220	2	671	809	97	264	469	274	327	9	97	490	6	518	278	401	453	354	432	476	599
Gp10	genus	17	5	0	1	6	5	2	0	0	8	0	88	6	4	3	4	0	3	1	0	16	7	1	7	36	1	24	2
Gp11	genus	3	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	10	0	0	0
Gp12	genus	6	0	0	1	2	2	0	1	0	6	0	2	1	16	4	0	0	0	1	0	6	2	1	7	1	2	5	4
Gp13	genus	19	1	0	5	4	11	1	4	0	13	1	3	12	7	3	8	0	0	1	0	17	3	4	10	13	14	13	14
Gp15	genus	47	6	0	10	3	29	1	27	0	18	2	5	4	36	26	15	6	3	2	7	25	0	5	24	21	9	5	15
Gp16	genus	187	136	6	132	105	171	12	69	69	55	10	150	58	108	161	59	103	75	100	127	157	44	94	158	239	80	51	90
Gp17	genus	21	6	1	12	8	11	15	6	0	12	0	26	0	9	7	13	8	4	2	9	6	6	4	5	18	13	5	8
