Barcode	16sV1V3	16sV4V5	ITS1	ITS2	LSU	None
Hotel337	32081	22415	30344	34965	38863	44431
Hotel338	43203	10516	39441	48133	56478	52624
Hotel339	34160	24373	30420	41319	49651	50829
Hotel340	37204	21106	28288	28889	42438	48153
Hotel341	32631	20264	27886	28621	43213	51063
Hotel342	37497	16120	25238	26167	39376	43540
Hotel343	39103	17230	23727	29267	35884	46052
Hotel344	38426	25912	33260	36976	54475	24959
Hotel345	31588	22051	38423	30463	52816	45288
Hotel346	29817	22340	36226	32130	42474	44540
Hotel347	3305	25209	37152	34951	45408	48305
Hotel348	31624	24070	30526	15555	15692	49647
Hotel349	31475	21784	30059	27863	30561	44748
Hotel350	25228	21415	25704	24960	26645	43636
Hotel351	31888	23369	25281	23636	38860	43368
Hotel352	37316	23704	29408	28973	35341	40251
Hotel353	29621	20526	39393	26771	40146	43106
Hotel354	30722	27966	26620	25842	32583	47061
Hotel355	30880	26359	35472	28083	23000	45611
Hotel356	24704	21268	31351	31164	43437	46096
Hotel357	13071	22989	21715	23173	21749	38894
Hotel358	29424	30211	27579	26738	31497	52630
Hotel359	27231	17974	32515	26483	26958	54391
Hotel360	30462	21335	32174	27148	40048	37704
Hotel365	32810	25151	33140	20453	36303	46909
Hotel366	28035	19366	31988	27343	25630	47272
Hotel367	27216	18272	31327	25298	32020	38528
Hotel368	33225	21581	32538	24804	24407	55583
