SampleID	PrimerPairID	BarcodeID	ProjectID
Slashpile1	16sV1V3	Hotel337	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile2	16sV1V3	Hotel338	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile3	16sV1V3	Hotel339	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile4	16sV1V3	Hotel340	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile5	16sV1V3	Hotel341	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile6	16sV1V3	Hotel342	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile7	16sV1V3	Hotel343	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile8	16sV1V3	Hotel344	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile9	16sV1V3	Hotel345	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile10	16sV1V3	Hotel346	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile11	16sV1V3	Hotel347	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile40	16sV1V3	Hotel348	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile13	16sV1V3	Hotel349	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile14	16sV1V3	Hotel350	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile15	16sV1V3	Hotel351	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile16	16sV1V3	Hotel352	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile17	16sV1V3	Hotel353	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile18	16sV1V3	Hotel354	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile19	16sV1V3	Hotel355	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile20	16sV1V3	Hotel356	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile21	16sV1V3	Hotel357	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile22	16sV1V3	Hotel358	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile23	16sV1V3	Hotel359	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile24	16sV1V3	Hotel360	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile25	16sV1V3	Hotel365	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile26	16sV1V3	Hotel366	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile27	16sV1V3	Hotel367	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile28	16sV1V3	Hotel368	Slashpile/16sV1V3/Slashpile-16sV1V3
Slashpile1	16sV4V5	Hotel337	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile2	16sV4V5	Hotel338	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile3	16sV4V5	Hotel339	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile4	16sV4V5	Hotel340	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile5	16sV4V5	Hotel341	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile6	16sV4V5	Hotel342	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile7	16sV4V5	Hotel343	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile8	16sV4V5	Hotel344	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile9	16sV4V5	Hotel345	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile10	16sV4V5	Hotel346	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile11	16sV4V5	Hotel347	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile40	16sV4V5	Hotel348	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile13	16sV4V5	Hotel349	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile14	16sV4V5	Hotel350	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile15	16sV4V5	Hotel351	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile16	16sV4V5	Hotel352	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile17	16sV4V5	Hotel353	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile18	16sV4V5	Hotel354	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile19	16sV4V5	Hotel355	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile20	16sV4V5	Hotel356	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile21	16sV4V5	Hotel357	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile22	16sV4V5	Hotel358	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile23	16sV4V5	Hotel359	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile24	16sV4V5	Hotel360	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile25	16sV4V5	Hotel365	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile26	16sV4V5	Hotel366	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile27	16sV4V5	Hotel367	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile28	16sV4V5	Hotel368	Slashpile/16sV4V5/Slashpile-16sV4V5
Slashpile1	ITS1	Hotel337	Slashpile/ITS1/Slashpile-ITS1
Slashpile2	ITS1	Hotel338	Slashpile/ITS1/Slashpile-ITS1
Slashpile3	ITS1	Hotel339	Slashpile/ITS1/Slashpile-ITS1
Slashpile4	ITS1	Hotel340	Slashpile/ITS1/Slashpile-ITS1
Slashpile5	ITS1	Hotel341	Slashpile/ITS1/Slashpile-ITS1
Slashpile6	ITS1	Hotel342	Slashpile/ITS1/Slashpile-ITS1
Slashpile7	ITS1	Hotel343	Slashpile/ITS1/Slashpile-ITS1
Slashpile8	ITS1	Hotel344	Slashpile/ITS1/Slashpile-ITS1
Slashpile9	ITS1	Hotel345	Slashpile/ITS1/Slashpile-ITS1
Slashpile10	ITS1	Hotel346	Slashpile/ITS1/Slashpile-ITS1
Slashpile11	ITS1	Hotel347	Slashpile/ITS1/Slashpile-ITS1
Slashpile40	ITS1	Hotel348	Slashpile/ITS1/Slashpile-ITS1
Slashpile13	ITS1	Hotel349	Slashpile/ITS1/Slashpile-ITS1
Slashpile14	ITS1	Hotel350	Slashpile/ITS1/Slashpile-ITS1
Slashpile15	ITS1	Hotel351	Slashpile/ITS1/Slashpile-ITS1
Slashpile16	ITS1	Hotel352	Slashpile/ITS1/Slashpile-ITS1
Slashpile17	ITS1	Hotel353	Slashpile/ITS1/Slashpile-ITS1
Slashpile18	ITS1	Hotel354	Slashpile/ITS1/Slashpile-ITS1
Slashpile19	ITS1	Hotel355	Slashpile/ITS1/Slashpile-ITS1
Slashpile20	ITS1	Hotel356	Slashpile/ITS1/Slashpile-ITS1
Slashpile21	ITS1	Hotel357	Slashpile/ITS1/Slashpile-ITS1
Slashpile22	ITS1	Hotel358	Slashpile/ITS1/Slashpile-ITS1
Slashpile23	ITS1	Hotel359	Slashpile/ITS1/Slashpile-ITS1
Slashpile24	ITS1	Hotel360	Slashpile/ITS1/Slashpile-ITS1
Slashpile25	ITS1	Hotel365	Slashpile/ITS1/Slashpile-ITS1
Slashpile26	ITS1	Hotel366	Slashpile/ITS1/Slashpile-ITS1
Slashpile27	ITS1	Hotel367	Slashpile/ITS1/Slashpile-ITS1
Slashpile28	ITS1	Hotel368	Slashpile/ITS1/Slashpile-ITS1
Slashpile1	ITS2	Hotel337	Slashpile/ITS2/Slashpile-ITS2
Slashpile2	ITS2	Hotel338	Slashpile/ITS2/Slashpile-ITS2
Slashpile3	ITS2	Hotel339	Slashpile/ITS2/Slashpile-ITS2
Slashpile4	ITS2	Hotel340	Slashpile/ITS2/Slashpile-ITS2
Slashpile5	ITS2	Hotel341	Slashpile/ITS2/Slashpile-ITS2
Slashpile6	ITS2	Hotel342	Slashpile/ITS2/Slashpile-ITS2
Slashpile7	ITS2	Hotel343	Slashpile/ITS2/Slashpile-ITS2
Slashpile8	ITS2	Hotel344	Slashpile/ITS2/Slashpile-ITS2
Slashpile9	ITS2	Hotel345	Slashpile/ITS2/Slashpile-ITS2
Slashpile10	ITS2	Hotel346	Slashpile/ITS2/Slashpile-ITS2
Slashpile11	ITS2	Hotel347	Slashpile/ITS2/Slashpile-ITS2
Slashpile40	ITS2	Hotel348	Slashpile/ITS2/Slashpile-ITS2
Slashpile13	ITS2	Hotel349	Slashpile/ITS2/Slashpile-ITS2
Slashpile14	ITS2	Hotel350	Slashpile/ITS2/Slashpile-ITS2
